Time,Trial 1,Trial 2,Trial 3,,
5,0.22,0.271,0,,
10,0.165,0.538,0.004,,
15,7.314,0.644,0.026,,
20,0.32,0.748,0.122,,
25,0.336,0.855,0.242,,
30,0.452,0.955,0.353,,
35,0.559,1.058,0.467,,
40,0.663,1.157,0.58,,
45,0.771,1.26,0.693,,
50,0.873,1.357,0.8,,
55,0.972,1.464,0.903,,
60,1.078,1.56,1.012,,
65,1.177,1.663,1.122,,
70,1.279,1.765,1.23,,
75,1.377,1.861,1.332,,
80,1.478,1.964,1.441,,
85,1.579,2.06,1.542,,
90,2.125,1.162,1.65,,
95,1.776,2.262,1.756,,
100,1.879,2.366,1.858,,
105,1.974,2.462,1.965,,
110,2.072,2.561,2.072,,
115,2.174,2.661,2.172,,
120,2.271,2.761,2.279,,
125,2.371,2.857,2.378,,
130,2.468,2.953,2.487,,
135,2.561,3.051,2.591,,
140,2.667,3.15,2.699,,
145,2.754,3.25,2.807,,
150,2.862,3.347,2.916,,
155,2.952,3.443,3.018,,
160,3.059,3.543,3.127,,
165,3.157,3.644,3.23,,
170,3.257,3.738,3.339,,
175,3.354,3.841,3.44,,
180,3.444,3.941,3.548,,
185,3.547,4.036,3.651,,
190,3.645,4.133,3.758,,
195,3.745,4.23,3.861,,
200,3.842,4.327,3.969,,
205,3.945,4.427,4.076,,
210,4.033,4.522,4.179,,
215,4.135,4.621,4.284,,
220,4.235,4.716,4.397,,
225,4.331,4.812,4.493,,
230,4.428,4.912,4.599,,
235,4.526,5.006,4.701,,
240,4.624,5.102,4.806,,
245,4.721,5.2,4.91,,
250,4.813,5.293,5.009,,
255,4.916,5.392,5.111,,
260,5.013,5.489,5.209,,
265,5.106,5.585,5.311,,
270,5.205,5.68,5.414,,
275,5.302,5.774,5.511,,
280,5.394,5.873,5.614,,
285,5.494,5.97,5.71,,
290,5.59,6.064,5.812,,
295,5.685,6.163,5.911,,
300,5.784,6.261,6.009,,
305,5.872,6.355,6.112,,
310,5.976,6.453,6.214,,
315,6.079,6.546,6.311,,
320,6.167,6.644,6.412,,
325,6.267,6.743,6.51,,
330,6.359,6.836,6.611,,
335,6.455,6.934,6.715,,
340,6.551,7.027,6.815,,
345,6.65,7.124,6.911,,
350,6.745,7.223,7.02,,
355,6.84,7.316,7.125,,
360,6.936,7.414,7.226,,
365,7.029,7.511,7.331,,
370,7.126,7.604,7.431,,
375,7.221,7.701,7.535,,
380,7.317,7.795,7.634,,
385,7.412,7.892,7.739,,
390,7.507,7.99,7.834,,
395,7.602,8.083,7.944,,
400,7.698,8.18,8.048,,
405,7.793,8.273,8.147,,
410,7.885,8.369,8.252,,
415,7.976,8.467,8.355,,
420,8.076,8.559,8.454,,
425,8.171,8.655,8.558,,
430,8.263,8.752,8.656,,
435,8.355,8.845,8.759,,
440,8.455,8.942,8.854,,
445,8.546,9.038,8.962,,
450,8.643,9.129,9.065,,
455,8.737,9.226,9.164,,
460,8.833,9.323,9.267,,
465,8.921,9.414,9.366,,
470,9.02,9.512,9.468,,
475,9.115,9.604,9.575,,
480,9.203,9.7,9.668,,
485,9.303,9.791,9.755,,
490,9.397,9.891,9.868,,
495,9.49,9.984,9.971,,
500,9.585,10.077,10.068,,
505,9.676,10.174,10.17,,
510,9.77,10.267,10.268,,
515,9.866,10.363,10.371,,
520,9.954,10.455,10.468,,
525,10.05,10.552,10.57,,
530,10.146,10.642,10.667,,
535,10.238,10.74,10.768,,
540,10.333,10.83,10.866,,
545,10.424,10.926,10.969,,
550,10.514,11.017,11.065,,
555,10.61,11.113,11.167,,
560,10.703,11.205,11.264,,
565,10.794,11.299,11.366,,
570,10.893,11.391,11.462,,
575,10.981,11.486,11.552,,
580,11.074,11.577,11.66,,
585,11.169,11.672,11.756,,
590,11.262,11.762,11.857,,
595,11.353,11.858,11.954,,
600,11.448,11.948,12.054,,
605,11.538,12.043,12.15,,
610,11.634,12.132,12.245,,
615,11.724,12.225,12.348,,
620,11.816,12.318,12.443,,
625,11.91,12.408,12.545,,
630,12.003,12.505,12.641,,
635,12.094,12.595,12.736,,
640,12.191,12.685,12.837,,
645,12.279,12.781,12.933,,
650,12.37,12.871,13.037,,
655,12.467,12.961,13.129,,
660,12.556,13.057,13.224,,
665,12.642,13.145,13.314,,
670,12.741,13.241,13.419,,
675,12.832,13.332,13.513,,
680,12.921,13.422,13.615,,
685,13.018,13.517,13.708,,
690,13.106,13.606,13.802,,
695,13.203,13.702,13.903,,
700,13.292,13.792,13.997,,
705,13.381,13.882,14.091,,
710,13.477,13.977,14.191,,
715,13.565,14.067,14.288,,
720,13.651,14.157,14.385,,
725,13.749,14.252,14.478,,
730,13.839,14.341,14.572,,
735,13.934,14.436,14.671,,
740,14.021,14.525,14.768,,
745,14.11,14.62,14.861,,
750,14.205,14.708,14.96,,
755,14.295,14.802,15.054,,
760,14.389,14.891,14.147,,
765,14.476,14.986,15.246,,
770,14.564,15.074,15.339,,
775,14.658,15.162,15.439,,
780,14.746,15.257,15.531,,
785,14.835,15.345,15.624,,
790,14.929,15.44,15.722,,
795,15.016,15.527,15.815,,
800,15.111,15.615,15.906,,
805,15.198,15.709,16.004,,
810,15.286,15.797,16.097,,
815,15.377,15.891,16.19,,
820,15.468,15.98,16.288,,
825,15.556,16.067,16.372,,
830,15.65,16.161,16.471,,
835,15.738,16.248,16.568,,
840,15.823,16.337,16.659,,
845,15.917,16.43,16.757,,
850,16.004,16.522,16.849,,
855,16.09,16.608,16.947,,
860,16.185,16.702,17.037,,
865,16.272,16.791,17.128,,
870,16.354,16.877,17.224,,
875,16.451,16.968,17.317,,
880,16.537,17.055,17.414,,
885,16.631,17.143,17.504,,
890,16.718,17.237,17.595,,
895,16.811,17.324,17.691,,
900,16.897,17.417,170782,,
905,17.076,17.504,17.872,,
910,17.161,17.592,17.969,,
915,17.247,17.685,18.059,,
920,17.34,17.772,18.145,,
925,17.425,17.866,18.246,,
930,17.511,17.953,18.335,,
935,17.603,18.039,18.431,,
940,17.689,18.133,18.521,,
945,17.771,18.221,18.611,,
950,17.867,18.314,18.7,,
955,17.951,18.402,18.798,,
960,18.043,18.488,18.891,,
965,18.13,18.581,18.98,,
970,18.215,18.668,19.069,,
975,18.306,18.761,19.165,,
980,18.391,18.847,19.254,,
985,18.477,18.939,19.343,,
990,18.568,19.025,19.438,,
995,18.653,19.112,19.528,,
1000,18.744,19.204,21.553,,
1005,18.83,19.29,19.717,,
1010,18.914,19.376,18.803,,
1015,19.006,19.462,18.89,,
1020,19.091,19.554,19.975,,
1025,19.172,19.639,20.073,,
1030,19.267,19.731,20.161,,
1035,19.35,19.816,20.255,,
1040,19.441,19.901,20.343,,
1045,19.526,19.993,20.432,,
1050,19.611,20.077,20.526,,
1055,19.7,20.164,20.613,,
1060,19.785,20.254,20.704,,
1065,19.875,20.339,20.792,,
1070,19.958,20.424,20.885,,
1075,20.044,20.515,20.972,,
1080,20.124,20.6,21.055,,
1085,20.217,20.69,21.153,,
1090,20.302,20.774,21.24,,
1095,20.391,20.859,21.237,,
1100,20.476,20.949,21.42,,
1105,20.56,21.032,21.506,,
1110,20.654,21.122,21.6,,
1115,20.736,21.208,21.687,,
1120,20.82,21.292,21.771,,
1125,20.904,21.381,21.868,,
1130,20.994,21.465,21.954,,
1135,21.077,21.554,22.041,,
1140,21.16,21.639,22.133,,
1145,21.249,21.722,22.219,,
1150,21.333,21.812,22.311,,
1155,21.419,21.896,22.398,,
1160,21.503,21.98,22.484,,
1165,21.592,22.069,22.576,,
1170,21.674,22.152,22.662,,
1175,21.757,22.241,22.741,,
1180,21.846,22.324,22.839,,
1185,21.929,22.407,22.924,,
1190,22.011,22.496,23.016,,
1195,22.1,22.579,23.101,,
1200,22.182,22.662,23.187,,
1205,22.271,22.75,23.278,,
1210,22.352,22.834,23.362,,
1215,22.434,22.916,23.448,,
1220,22.512,23.005,23.539,,
1225,22.605,23.087,23.623,,
1230,22.686,23.175,23.714,,
1235,22.774,23.258,23.799,,
1240,22.856,23.345,23.884,,
1245,22.934,23.432,23.974,,
1250,23.026,23.513,24.058,,
1255,23.107,23.596,24.142,,
1260,23.194,23.683,24.23,,
1265,23.276,23.765,24.314,,
1270,23.358,23.852,24.405,,
1275,23.435,23.933,24.488,,
1280,23.608,24.016,24.577,,
1285,23.694,24.102,24.662,,
1290,23.776,24.183,24.745,,
1295,23.858,24.265,24.824,,
1300,23.944,24.351,24.918,,
1305,24.026,24.433,25,,
1310,24.11,24.513,25.09,,
1315,24.19,24.599,25.173,,
1320,24.271,24.68,25.255,,
1325,24.358,24.766,25.344,,
1330,24.441,24.847,25.427,,
1335,24.523,24.927,25.516,,
1340,24.603,25.013,25.598,,
1345,24.688,25.094,25.68,,
1350,24.768,25.174,25.769,,
1355,24.844,25.259,25.852,,
1360,24.936,25.34,25.933,,
1365,25.015,25.425,26.022,,
1370,25.1,25.505,26.102,,
1375,25.179,25.584,26.191,,
1380,25.254,25.669,26.273,,
1385,25.344,25.75,26.355,,
1390,25.424,25.835,26.442,,
1395,25.509,25.914,26.524,,
1400,25.589,25.994,26.676,,
1405,25.67,26.079,26.693,,
1410,25.755,26.159,26.775,,
1415,25.833,26.246,26.852,,
1420,25.913,26.326,26.943,,
1425,25.997,26.41,27.025,,
1430,26.076,26.498,27.192,,
1435,26.151,26.581,27.274,,
1440,26.24,26.662,27.36,,
1445,26.321,26.751,27.441,,
1450,26.405,26.834,27.522,,
1455,26.475,26.922,27.608,,
1460,26.566,27.004,27.689,,
1465,26.644,27.092,27.775,,
1470,26.724,27.173,27.856,,
1475,26.808,27.255,27.936,,
1480,26.886,27.344,28.011,,
1485,26.971,27.426,28.1,,
1490,27.049,27.513,28.181,,
1495,27.124,27.594,28.266,,
1500,27.211,27.676,28.343,,
1505,27.29,27.763,28.429,,
1510,27.374,27.844,28.51,,
1515,27.452,27.925,28.594,,
1520,27.531,28.012,28.674,,.
1525,27.615,28.094,28.753,,
1530,27.694,28.175,28.839,,
1535,27.772,28.262,28.917,,
1540,27.856,28.343,28.997,,
1545,27.835,28.424,29.082,,
1550,28.014,28.511,29.162,,
1555,28.098,28.592,29.241,,
1560,28.176,28.672,29.325,,
1565,28.254,28.758,29.404,,
1570,28.337,28.838,29.49,,
1575,28.416,28.924,29.567,,
1580,28.494,29.005,29.647,,
1585,28.577,29.091,29.721,,
1590,28.655,29.176,29.809,,
1595,28.732,29.256,29.887,,
1600,28.815,29.337,29.971,,
1605,28.893,29.415,30.05,,
1610,28.976,29.501,30.124,,
1615,29.054,29.582,30.212,,
1620,29.132,29.662,30.289,,
1625,29.215,29.747,30.377,,
1630,29.292,29.827,30.45,,
1635,29.369,29.905,30.528,,
1640,29.452,29.991,30.612,,
1645,29.529,30.071,30.689,,
1650,29.606,30.151,30.676,,
1655,29.689,30.236,30.845,,
1660,29.766,30.314,30.927,,
1665,29.843,30.394,31.004,,
1670,29.925,30.479,31.084,,
1675,30.002,30.559,31.161,,
1680,30.077,30.638,31.243,,
1685,30.159,30.722,31.319,,
1690,30.237,30.801,31.396,,
1695,30.313,30.885,31.479,,
1700,30.394,30.966,31.555,,
1705,30.471,31.043,31.632,,
1710,30.546,31.127,31.714,,
1715,30.628,31.206,31.79,,
1720,30.705,31.29,31.872,,
1725,30.781,31.368,31.948,,
1730,30.862,31.446,32.024,,
1735,30.937,31.53,32.106,,
1740,31.017,31.608,32.182,,
1745,31.094,31.687,32.258,,
1750,31.17,31.77,32.334,,
1755,31.25,31.848,32.415,,
1760,31.325,31.926,32.43,,
1765,31.4,32.008,32.572,,
1770,31.47,32.086,32.647,,
1775,31.557,32.164,32.723,,
1780,31.632,32.247,32.704,,
1785,31.712,32.324,32.879,,
1790,31.787,32.404,32.954,,
1795,31.864,32.484,33.034,,
1800,31.938,32.572,33.109,,
1805,32.014,32.639,33.184,,
1810,32.093,32.731,33.264,,
1815,32.167,32.807,33.338,,
1820,32.241,32.883,33.418,,
1825,32.321,32.966,33.493,,
1830,32.395,33.043,33.567,,
1835,32.47,33.124,33.646,,
1840,32.549,33.201,33.721,,
1845,32.623,33.382,33.701,,
1850,32.702,33.359,33.875,,
1855,32.776,33.435,33.949,,
1860,32.85,33.516,34.028,,
1865,32.928,33.592,34.102,,
1870,33.001,33.674,34.176,,
1875,33.075,33.75,34.254,,
1880,33.153,33.825,34.328,,
1885,33.226,33.905,34.4,,
1890,33.375,33.981,34.479,,
1895,33.378,34.062,34.553,,
1900,33.45,34.136,34.631,,
1905,33.527,34.212,34.703,,
1910,33.601,34.27,34.769,,
1915,33.674,,,,
1920,33.751,,,,
1925,33.823,,,,
1930,33.996,,,,
1935,33.973,,,,
1940,34.043,,,,
1945,34.12,,,,
1950,34.192,,,,
1955,34.269,,,,
1960,34.34,,,,
1965,34.417,,,,
1970,34.489,,,,
1975,34.562,,,,
1980,34.634,,,,
1985,34.716,,,,
1990,34.779,,,,
1995,34.855,,,,
2000,34.927,,,,
2005,34.998,,,,
2010,35.074,,,,
2015,35.147,,,,
2020,35.217,,,,
2025,35.288,,,,
2030,35.364,,,,
2035,35.431,,,,
2040,35.504,,,,
2045,35.504,,,,
2050,35.57,,,,
2055,35.631,,,,
2060,,,,,
2065,,,,,
2070,,,,,
2075,,,,,
2080,,,,,
2085,,,,,
2090,,,,,
2095,,,,,
2100,,,,,
2105,,,,,
2110,,,,,
2115,,,,,
2120,,,,,
2125,,,,,
2130,,,,,
2135,,,,,
2140,,,,,
2145,,,,,
2150,,,,,
2155,,,,,
2160,,,,,
2165,,,,,
2170,,,,,
2175,,,,,
2180,,,,,
2185,,,,,
2190,,,,,
2195,,,,,
2200,,,,,
2205,,,,,
2210,,,,,
2215,,,,,
2220,,,,,
2225,,,,,
2230,,,,,
2235,,,,,
2240,,,,,
2245,,,,,
2250,,,,,
2255,,,,,
2260,,,,,
2265,,,,,
2270,,,,,
2275,,,,,
2280,,,,,
2285,,,,,
2290,,,,,
2295,,,,,
2300,,,,,
2305,,,,,
2310,,,,,
2315,,,,,
2320,,,,,
2325,,,,,
2330,,,,,
2335,,,,,
2340,,,,,
2345,,,,,
2350,,,,,
2355,,,,,
2360,,,,,
2365,,,,,
2370,,,,,
2375,,,,,
2380,,,,,
2385,,,,,
2390,,,,,
2395,,,,,
2400,,,,,
2405,,,,,
2410,,,,,
2415,,,,,
2420,,,,,
2425,,,,,
2430,,,,,
2435,,,,,
2440,,,,,
2445,,,,,
2450,,,,,
2455,,,,,
2460,,,,,
2465,,,,,
2470,,,,,
2475,,,,,
2480,,,,,
2485,,,,,
2490,,,,,
2495,,,,,