Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.375,4.823,10.379,15.724,20.78
5,0.461,4.904,10.466,15.807,20.869
10,0.55,4.992,10.556,15.891,20.954
15,0.642,5.07,10.642,15.979,21.043
20,0.742,5.164,10.732,16.063,21.128
25,0.835,5.244,10.818,16.145,21.218
30,0.921,5.335,10.908,16.227,21.302
35,1.014,5.424,10.994,16.314,21.391
40,1.103,5.511,11.074,16.394,21.471
45,1.193,5.597,11.171,16.479,21.562
50,1.285,5.683,11.255,16.556,21.641
55,1.46,5.767,11.344,16.635,21.717
60,1.543,5.856,11.429,16.719,21.817
65,1.638,5.937,11.52,16.806,21.905
70,1.727,6.024,11.604,16.891,21.989
75,1.812,6.109,11.69,16.981,22.071
80,1.993,6.194,11.778,17.066,22.158
85,2.071,6.272,11.866,17.154,22.244
90,2.152,6.361,11.95,17.243,22.325
95,2.245,6.45,12.037,17.328,22.405
100,2.333,6.534,12.12,17.415,22.492
105,2.421,6.619,12.203,17.501,22.573
110,2.505,6.701,12.291,17.588,22.651
115,2.597,6.788,12.376,17.671,22.741
120,2.675,6.868,12.46,17.76,22.822
125,2.765,7.049,12.543,17.847,22.911
130,2.84,7.127,12.632,17.936,22.992
135,2.932,7.217,12.719,18.02,23.077
140,3.012,7.293,12.807,18.105,23.151
145,3.101,7.373,12.891,18.192,23.24
150,,7.453,12.976,18.275,23.326
155,,7.545,13.055,18.363,23.408
160,,7.628,13.148,18.446,23.49
165,,7.713,13.235,18.546,23.575
170,,7.797,13.314,18.618,23.656
175,,7.877,13.405,18.702,23.737
180,,7.965,13.494,18.797,23.82