Time,Trial 1,Trial 2,"Jo's transcription for ""Trial 3"", which is actually Lower T1"
5,0.312,0.706,0.034
10,0.454,0.813,0.113
15,0.61,0.928,0.2
20,0.758,1.038,0.285
25,0.902,1.143,0.371
30,1.038,1.258,0.454
35,1.182,1.363,0.541
40,1.311,1.473,0.621
45,1.458,1.572,0.707
50,1.6,1.688,0.797
55,1.732,1.794,0.872
60,1.871,1.907,0.957
65,2.003,2.021,1.038
70,2.138,2.128,1.119
75,2.275,2.24,1.203
80,2.414,2.349,1.285
85,2.532,2.454,1.365
90,2.675,2.56,1.445
95,2.804,2.667,1.526
100,2.931,2.773,1.609
105,3.066,2.873,1.691
110,3.202,2.977,1.771
115,3.306,3.084,1.854
120,3.455,3.186,1.936
125,3.595,3.293,2.015
130,3.734,3.396,2.096
135,3.871,3.502,2.179
140,4,3.611,2.259
145,4.124,3.715,2.338
150,4.263,3.822,2.418
155,4.397,3.925,2.5
160,4.52,4.024,2.58
165,4.631,4.145,2.652
170,4.739,4.242,2.742
175,4.862,4.341,2.827
180,4.992,4.446,2.905
185,5.117,4.555,2.984
190,5.247,4.659,3.065
195,5.375,4.761,3.147
200,5.498,4.865,3.227
205,5.629,4.972,3.307
210,5.757,5.076,3.385
215,5.88,5.176,3.468
220,6.014,5.281,3.546
225,6.132,5.382,3.623
230,6.251,5.487,3.707
235,6.382,5.587,3.783
240,6.511,6.93,3.863
245,6.634,5.791,3.943
250,6.751,5.896,4.023
255,6.881,5.997,4.102
260,7.014,6.105,4.181
265,7.133,6.206,4.263
270,7.252,6.309,4.343
275,7.383,6.411,4.422
280,7.511,6.512,4.502
285,7.643,6.612,4.579
290,7.752,6.717,4.66
295,7.893,6.819,4.741
300,8.012,6.924,4.818
305,8.13,7.026,4.897
310,8.253,7.128,4.976
315,8.381,7.23,5.051
320,8.507,7.329,5.132
325,8.637,7.434,5.214
330,8.757,7.535,5.297
335,8.874,7.634,5.369
340,9.004,7.737,5.448
345,9.132,7.836,5.523
350,9.25,7.944,5.605
355,9.376,8.043,5.685
360,9.496,8.142,5.762
365,9.613,8.245,5.839
370,9.74,8.344,5.916
375,9.868,8.447,5.993
380,9.994,8.548,6.072
385,10.116,8.645,6.154
390,10.237,8.749,6.232
395,10.361,8.847,6.311
400,10.488,8.95,6.387
405,10.617,9.048,6.463
410,10.735,9.152,6.54
415,10.867,9.25,6.621
420,10.986,9.351,6.699
425,11.115,9.447,6.772
430,11.236,9.548,6.851
435,11.359,9.647,6.928
440,11.484,9.746,7.008
445,11.606,9.842,7.084
450,11.735,9.942,7.156
455,11.859,10.037,7.236
460,11.983,10.136,7.312
465,12.107,10.233,7.386
470,12.234,10.333,7.466
475,12.352,10.429,7.541
480,12.474,10.531,7.616
485,12.607,10.627,7.691
490,12.726,10.723,7.766
495,12.858,10.814,7.84
500,12.974,10.92,7.916
505,13.103,11.018,7.993
510,13.221,11.115,8.065
515,13.355,11.217,8.142
520,13.475,11.305,8.214
525,13.593,11.404,8.292
530,13.713,11.504,8.365
535,13.844,11.6,8.439
540,13.972,11.697,8.514
545,14.096,11.795,8.588
550,14.214,11.889,8.661
555,14.344,11.985,8.735
560,14.469,12.074,8.809
565,14.595,12.177,8.886
570,14.717,12.271,8.958
575,14.838,12.365,9.032
580,14.972,12.457,9.109
585,15.195,12.557,9.179
590,15.217,12.644,9.253
595,15.341,12.743,9.326
600,15.464,12.838,9.401
605,15.588,12.932,9.474
610,15.714,13.022,9.544
615,15.845,13.121,9.618
620,15.967,13.212,9.691
625,16.092,13.311,9.762
630,16.211,13.403,9.837
635,16.333,13.496,9.907
640,16.453,13.693,9.986
645,16.584,13.683,10.054
650,16.71,13.773,10.127
655,16.835,13.864,10.199
660,16.951,13.958,10.271
665,17.078,14.047,10.344
670,17.204,14.141,10.417
675,17.324,14.231,10.485
680,17.443,14.32,10.561
685,17.569,14.414,10.63
690,17.693,14.502,10.703
695,1.818,14.592,10.773
700,17.941,14.685,10.847
705,18.061,14.772,10.916
710,18.177,14.862,10.984
715,18.301,14.948,11.053
720,18.423,15.04,11.125
725,18.551,15.126,11.194
730,18.673,15.214,11.262
735,18.794,15.308,11.334
740,18.914,15.394,11.405
745,19.041,15.481,11.476
750,19.162,15.573,11.546
755,19.284,15.66,12.653
760,19.406,15.746,11.687
765,19.531,15.839,11.754
770,19.644,15.924,11.825
775,19.771,16.01,11.891
780,19.895,16.102,11.961
785,20.014,16.187,12.032
790,20.14,16.272,12.102
795,20.264,16.356,12.169
800,20.384,16.447,12.24
805,20.507,16.532,12.307
810,20.623,16.616,12.376
815,20.755,16.705,12.443
820,20.874,16.789,12.509
825,20.993,16.873,12.579
830,21.112,16.961,12.646
835,21.231,17.044,12.712
840,21.358,17.125,12.782
845,21.476,17.215,12.852
850,21.502,17.297,12.918
855,21.721,17.379,12.987
860,21.844,17.466,13.052
865,21.864,17.543,13.119
870,22.081,17.631,13.185
875,22.206,17.713,13.255
880,22.324,17.793,13.321
885,22.447,17.879,13.386
890,22.568,17.96,13.452
895,22.69,18.041,13.521
900,22.811,18.119,13.586
905,22.921,18.199,13.655
910,23.047,18.284,13.719
915,23.16,18.366,13.786
920,23.285,18.446,13.853
925,23.401,18.528,13.917
930,23.521,18.607,13.986
935,23.643,18.684,14.049
940,23.873,18.771,14.117
945,23.995,18.849,14.179
950,24.115,18.927,14.245
955,24.235,19.011,14.312
960,24.352,19.087,14.373
965,24.471,19.169,14.437
970,24.59,19.251,14.506
975,24.712,19.329,14.571
980,24.832,19.406,14.635
985,24.941,19.488,14.701
990,25.071,19.561,14.765
995,25.185,19.644,14.825
1000,25.307,19.72,14.889
1005,25.413,19.798,14.955
1010,25.54,19.874,15.016
1015,25.654,19.949,15.08
1020,25.772,20.027,15.143
1025,25.892,20.101,15.206
1030,26.01,20.179,15.27
1035,26.121,20.256,15.338
1040,26.243,20.333,15.406
1045,26.362,20.407,15.474
1050,26.471,20.481,15.543
1055,26.596,20.554,15.618
1060,26.711,20.634,15.686
1065,26.823,20.709,15.754
1070,26.944,20.781,15.829
1075,27.065,20.853,15.894
1080,27.172,20.927,15.968
1085,27.297,21.003,16.036
1090,27.411,21.078,16.104
1095,27.529,21.152,16.159
1100,27.647,21.226,16.247
1105,27.761,21.303,16.314
1110,27.879,21.386,16.382
1115,27.992,21.464,16.45
1120,28.117,21.541,16.517
1125,28.224,21.625,16.586
1130,28.342,21.701,16.654
1135,28.451,21.778,16.726
1140,28.577,21.858,16.792
1145,28.691,21.934,16.865
1150,28.809,22.017,16.931
1155,28.923,22.09,16.998
1160,29.043,22.171,17.065
1165,29.155,22.246,17.136
1170,29.272,22.321,17.203
1175,29.383,22.397,17.0273
1180,29.499,22.477,17.339
1185,29.616,22.551,17.403
1190,29.733,22.626,17.477
1195,29.849,22.704,17.544
1200,29.967,22.778,17.613
1205,30.075,22.851,17.678
1210,30.191,22.925,17.743
1215,30.311,23.003,17.813
1220,30.429,23.076,18.414
1225,30.544,23.151,17.944
1230,30.657,23.224,18.015
1235,30.774,23.297,18.08
1240,30.896,23.373,18.214
1245,31.004,23.443,18.216
1250,31.113,23.52,18.28
1255,31.232,23.59,18.351
1260,31.345,23.661,18.416
1265,31.451,23.725,18.483
1270,31.578,23.806,18.546
1275,31.69,23.876,18.617
1280,31.811,23.944,18.658
1285,31.924,24.019,18.752
1290,32.046,24.088,18.812
1295,32.152,24.157,18.883
1300,32.267,24.233,18.95
1305,32.379,24.3,19.016
1310,32.496,24.374,19.08
1315,32.311,24.597,19.144
1320,32.723,24.65,19.212
1325,32.837,24.726,19.276
1330,32.843,24.848,19.344
1335,32.943,24.861,19.408
1340,33.064,24.93,19.472
1345,33.173,25.003,19.538
1350,33.292,25.072,19.603
1355,33.413,25.139,19.665
1360,33.523,25.212,36.117
1365,33.626,25.28,19.79
1370,33.704,25.35,19.861
1375,33.763,25.415,19.926
1380,33.801,25.487,19.991
1385,33.837,25.552,20.054
1390,33.853,25.621,20.117
1395,33.864,25.694,20.177
1400,33.871,25.755,20.243
1405,33.875,25.824,20.31
1410,,25.893,20.374
1415,,25.961,20.434
1420,,26.025,20.497
1425,,26.091,20.555
1430,,26.155,20.625
1435,,26.224,20.689
1440,,26.292,20.753
1445,,26.357,20.813
1450,,26.421,20.874
1455,,26.488,20.937
1460,,26.554,20.999
1465,,26.616,21.062
1470,,26.681,21.122
1475,,26.743,21.185
1480,,26.808,21.248
1485,,26.873,21.31
1490,,26.938,21.373
1495,,27.002,21.437
1500,,27.065,21.496
1505,,27.127,21.557
1510,,27.187,21.617
1515,,27.251,21.673
1520,,27.318,21.745
1525,,27.39,21.801
1530,,27.453,21.865
1535,,27.511,21.925
1540,,27.576,21.987
1545,,27.636,22.048
1550,,27.699,22.111
1555,,27.757,22.17
1560,,27.818,22.229
1565,,27.881,22.289
1570,,27.938,22.343
1575,,28.001,22.411
1580,,28.058,22.47
1585,,28.123,22.517
1590,,28.184,22.588
1595,,28.24,22.65
1600,,28.303,22.711
1605,,28.358,22.767
1610,,28.418,22.827
1615,,28.478,22.887
1620,,28.535,22.947
1625,,28.594,23.003
1630,,28.651,23.063
1635,,28.721,23.126
1640,,28.79,23.185
1645,,28.862,23.242
1650,,28.926,29.869
1655,,29.127,23.355
1660,,29.198,23.414
1665,,29.276,23.475
1670,,29.352,23.532
1675,,29.429,23.592
1680,,29.515,23.65
1685,,29.586,23.709
1690,,29.661,23.763
1695,,29.737,23.819
1700,,29.818,23.876
1705,,29.897,23.931
1710,,29.973,23.993
1715,,30.045,24.056
1720,,30.13,24.115
1725,,30.206,24.175
1730,,30.282,24.236
1735,,30.354,24.296
1740,,30.437,24.356
1745,,30.517,24.415
1750,,30.598,24.473
1755,,30.676,24.532
1760,,30.754,24.594
1765,,30.834,24.654
1770,,30.915,24.714
1775,,30.992,24.773
1780,,31.07,24.834
1785,,31.153,24.892
1790,,31.231,24.951
1795,,31.308,25.008
1800,,31.385,25.074
1805,,31.469,25.136
1810,,31.545,25.196
1815,,31.623,25.253
1820,,31.699,25.314
1825,,31.783,25.371
1830,,31.858,25.428
1835,,30.893,25.486
1840,,32.009,25.546
1845,,32.077,25.602
1850,,,25.665
1855,,,25.724
1860,,,25.782
1865,,,25.742
1870,,,25.898
1875,,,25.954
1880,,,26.015
1885,,,26.068
1890,,,26.13
1895,,,26.187
1900,,,26.245
1905,,,26.302
1910,,,26.352
1915,,,26.418
1920,,,26.476
1925,,,26.532
1930,,,26.589
1935,,,26.644
1940,,,26.701
1945,,,26.762
1950,,,26.818
1955,,,26.876
1960,,,26.932
1965,,,26.993
1970,,,27.054
1975,,,27.113
1980,,,27.177
1985,,,27.234
1990,,,27.297
1995,,,27.359
2000,,,27.42
2005,,,27.471
2010,,,27.539
2015,,,27.6
2020,,,27.66
2025,,,27.723
2030,,,27.782
2035,,,27.843
2040,,,27.901
2045,,,27.963
2050,,,28.022
2055,,,28.082
2060,,,28.145
2065,,,28.201
2070,,,28.26
2075,,,28.318
2080,,,25.377
2085,,,28.439
2090,,,28.498
2095,,,28.661
2100,,,28.618
2105,,,28.677
2110,,,28.738
2115,,,28.795
2120,,,28.852
2125,,,28.911
2130,,,28.974
2135,,,29.03
2140,,,29.091
2145,,,29.147
2150,,,29.207
2155,,,29.264
2160,,,29.322
2165,,,29.381
2170,,,29.441
2175,,,29.498
2180,,,29.554
2185,,,29.612
2190,,,29.677
2195,,,29.734
2200,,,29.797
2205,,,29.846
2210,,,29.906
2215,,,29.962
2220,,,30.014
2225,,,30.073
2230,,,30.133
2235,,,30.191
2240,,,30.252
2245,,,30.31
2250,,,30.369
2255,,,30.427
2260,,,30.477
2265,,,30.539
2270,,,30.595
2275,,,30.654
2280,,,30.707
2285,,,30.767
2290,,,30.827
2295,,,30.879
2300,,,30.935
2305,,,30.992
2310,,,31.049
2315,,,31.105
2320,,,31.163
2325,,,31.22
2330,,,31.273
2335,,,31.334
2340,,,31.391
2345,,,31.444
2350,,,31.503
2355,,,31.551
2360,,,31.614
2365,,,31.674
2370,,,31.728
2375,,,31.781
2380,,,31.843
2385,,,31.898
2390,,,31.945
2395,,,32.005
2400,,,32.063
2405,,,32.117
2410,,,32.171
2415,,,32.218
2420,,,32.258
2425,,,32.281